"Home Player","Away Player","Week","Division","Status","Match Time","Unix Time","Match Format","Restream Channel","Winner","Home Score","Away Score","Vod","Commentators"
"ModestTomato","Juan","1","3b","Played","1/13 14:00","1610564400","Lockout","Bingothon","ModestTomato","13","7","","toburr, Peaches"
"Pinkish","JBuzzyBee","1","3b","Played","1/13 17:00","1610575200","Lockout","Bingothon","JBuzzyBee","8","13","","Trey, Funky"
"WildGeffe64","Jer","1","3a","Played","1/14 10:30","1610638200","Invasion","Offline","WildGeffe64","13","10","","Offline"
"gamestabled","Haywire","1","2","Played","1/14 14:00","1610650800","Connect 5","SunshineCommunity","gamestabled","9","4","https://www.twitch.tv/videos/874037906","PK, Jeff"
"DarkMan","mae","1","3a","Played","1/14 15:30","1610656200","Lockout","SunshineCommunity","DarkMan","13","12","https://www.twitch.tv/videos/874030490","Haywire, rudhira"
"Pixel626","Fullaire","1","3b","Played","1/14 17:00","1610661600","Lockout","SunshineCommunity","Fullaire","10","13","https://www.twitch.tv/videos/874034218","Zale, rudhira"
"Larvitar","Rimato","1","1","Played","1/15 15:30","1610742600","Draft","SunshineCommunity","Rimato","9","13","https://www.twitch.tv/videos/875466428","Trey, Jeff"
"Briguy","Danieru","1","1","Played","1/15 17:00","1610748000","Draft","Bingothon","Briguy","13","12","","Trey, Larvitar"
"mdmason85","RSW","9","2","Played","1/15 17:00","1610748000","Invasion","SunshineCommunity","mdmason85","13","12","https://www.twitch.tv/videos/875468041","PK, Jeff"
"Ricrexx","mdmason85","1","2","Played","1/15 18:30","1610753400","Invasion","Bingothon","mdmason85","12","13","","PK, Jeff"
"Segastar","Lego","1","3b","Played","1/15 20:00","1610758800","Lockout","Bingothon","Lego","6","13","","Mason, rudhira"
"TheAzack9","MoJungo","1","3b","Played","1/16 12:30","1610818200","Lockout","SunshineCommunity","MoJungo","10","13","https://www.twitch.tv/videos/876983311","Haywire, rudhira"
"Samura1man","ShadowMario27","1","1","Played","1/16 14:00","1610823600","Row Control","SunshineCommunity","ShadowMario27","2","3","https://www.twitch.tv/videos/876984141","Larvitar, Pogo"
"AverageTrey","UrinalMike","1","1","Played","1/16 15:30","1610829000","Row Control","SunshineCommunity","UrinalMike","2","3","https://www.twitch.tv/videos/876985263","Lego, Samu"
"linky628","Alaeus","1","2","Played","1/16 17:00","1610834400","Row Control","Bingothon","linky628","3","0","","Lego, Haywire"
"SidedWilliams","JeffCompass","1","1","Played","1/16 18:30","1610839800","Lockout","Bingothon","JeffCompass","9","13","","Lego, Jukatox"
"Dex","MrYhatoh","1","3a","Played","1/16 20:00","1610845200","Lockout","Bingothon","Dex","13","10","","Game, Juan"
"Jukatox","plankton","1","3a","Played","1/16 21:30","1610850600","Row Control","Bingothon","Jukatox","3","0","","Sid, Trey"
"PK","RSW","1","2","Played","1/17 12:30","1610904600","Connect 5","SunshineCommunity","RSW","10","13","https://www.twitch.tv/videos/878288408","Lego, Juan"
"Samura1man","Larvitar","9","1","Played","1/17 14:00","1610910000","Connect 5","SunshineCommunity","Samura1man","6","5","https://www.twitch.tv/videos/878289914","Bri, Jeff"
"Tom$","Libre","1","3a","Played","1/17 15:30","1610915400","Draft","SunshineCommunity","Libre","0","0","https://www.twitch.tv/videos/878290881","Funky, Sid"
"toburr","Papa","1","2","Played","1/17 17:00","1610920800","Draft","Bingothon","toburr","13","8","","Funky, Sid"
"Pogonateur","JJsrl","1","1","Played","1/17 17:30","1610922600","Invasion","SunshineCommunity","JJsrl","8","13","https://www.twitch.tv/videos/878293041","Juan, Larvitar"
"GravityBeatle","peaches","1","2","Played","1/17 18:30","1610926200","Row Control","Bingothon","peaches","0","3","","Funky, Jeff"
"SpanishMeerkat","Derpspace","1","3a","Played","1/17 20:00","1610931600","Lockout","Bingothon","Derpspace","7","13","","Funky, rudhira"
"JeffCompass","Rimato","2","1","Played","1/20 14:00","1611169200","Connect 5","Bingothon","Rimato","8","13","","Juan, Tomato"
"Rimato","Briguy","9","1","Played","1/20 15:30","1611174600","Connect 5","Bingothon","Rimato","8","5","","Larvitar, Jeff"
"Fullaire","MoJungo","2","3b","Played","1/20 17:00","1611180000","Lockout","Bingothon","MoJungo","8","13","","Funky, Tomato"
"Alaeus","RSW","2","2","Played","1/21 14:00","1611255600","Connect 5","SunshineCommunity","Alaeus","7","10","https://www.twitch.tv/videos/883177291","Plankton, Trey"
"linky628","Ricrexx","2","2","Played","1/21 15:30","1611261000","Row Control","SunshineCommunity","linky628","9","5","https://www.twitch.tv/videos/883176306","PK, JJ"
"Segastar","TheAzack9","2","3b","Played","1/22 12:30","1611336600","Row Control","SunshineCommunity","TheAzack9","0","1","","Haywire, Alaeus"
"Larvitar","SidedWilliams","2","1","Played","1/22 14:00","1611342000","Invasion","SunshineCommunity","Larvitar","11","4","","Jeff, Papa"
"Urbani","Kao","1","3b","Played","1/22 15:00","1611345600","Invasion","Offline","Urbani","6","0","","Offline"
"Haywire","Alaeus","9","2","Played","1/22 15:30","1611347400","Draft","SunshineCommunity","Alaeus","11","13","","Jeff, MoJungo"
"Haywire","mdmason85","2","2","Played","1/22 17:00","1611352800","Draft","Bingothon","mdmason85","6","13","","Sega, MoJungo"
"AverageTrey","Samura1man","2","1","Played","1/22 17:00","1611352800","Lockout","SunshineCommunity","Samura1man","8","13","","Larvitar, Peaches"
"JJsrl","Danieru","2","1","Played","1/22 18:30","1611358200","Connect 5","Bingothon","JJsrl","7","4","","Plankton, Sid"
"PK","GravityBeatle","9","2","Played","1/22 18:30","1611358200","Draft","SunshineCommunity","GravityBeatle","4","13","","Lego, Mason"
"Derpspace","Jer","2","3a","Played","1/22 20:00","1611363600","Draft","Bingothon","Derpspace","13","8","","Lego, Pogo"
"Pogonateur","UrinalMike","2","1","Played","1/23 12:30","1611423000","Row Control","SunshineCommunity","Pogonateur","3","0","","Larvitar, Papa"
"peaches","toburr","2","2","Played","1/23 14:00","1611428400","Lockout","SunshineCommunity","peaches","13","8","","Lego, Denial"
"Dex","Jukatox","2","3a","Played","1/23 15:30","1611433800","Invasion","SunshineCommunity","Jukatox","10","13","","rudhira, Zale"
"Derpspace","WildGeffe64","9","3a","Played","1/23 15:30","1611433800","Row Control","Offline","WildGeffe64","0","3","","Offline"
"Pixel626","Pinkish","2","3b","Played","1/23 18:30","1611444600","Lockout","Bingothon","Pinkish","7","13","","Lego, rudhira"
"SpanishMeerkat","MrYhatoh","2","3a","Played","1/23 20:00","1611450000","Lockout","Bingothon","MrYhatoh","4","13","","Sega, rudhira"
"plankton","WildGeffe64","2","3a","Played","1/23 21:30","1611455400","Lockout","Bingothon","WildGeffe64","12","13","","Sega, MoJungo"
